Week,papaya: (Colombia)
2019-10-20,59
2019-10-27,53
2019-11-03,59
2019-11-10,50
2019-11-17,52
2019-11-24,43
2019-12-01,52
2019-12-08,53
2019-12-15,50
2019-12-22,42
2019-12-29,51
2020-01-05,57
2020-01-12,56
2020-01-19,52
2020-01-26,49
2020-02-02,48
2020-02-09,53
2020-02-16,48
2020-02-23,47
2020-03-01,50
2020-03-08,49
2020-03-15,47
2020-03-22,58
2020-03-29,62
2020-04-05,100
2020-04-12,77
2020-04-19,79
2020-04-26,71
2020-05-03,76
2020-05-10,83
2020-05-17,69
2020-05-24,68
2020-05-31,62
2020-06-07,65
2020-06-14,62
2020-06-21,67
2020-06-28,64
2020-07-05,67
2020-07-12,62
2020-07-19,63
2020-07-26,63
2020-08-02,63
2020-08-09,65
2020-08-16,63
2020-08-23,64
2020-08-30,64
2020-09-06,58
2020-09-13,58
2020-09-20,63
2020-09-27,54
2020-10-04,57
2020-10-11,64
2020-10-18,58
2020-10-25,63
2020-11-01,62
2020-11-08,63
2020-11-15,61
2020-11-22,60
2020-11-29,60
2020-12-06,60
2020-12-13,61
2020-12-20,56
2020-12-27,50
2021-01-03,60
2021-01-10,67
2021-01-17,67
2021-01-24,63
2021-01-31,58
2021-02-07,59
2021-02-14,54
2021-02-21,54
2021-02-28,58
2021-03-07,56
2021-03-14,55
2021-03-21,55
2021-03-28,85
2021-04-04,61
2021-04-11,65
2021-04-18,62
2021-04-25,63
2021-05-02,46
2021-05-09,51
2021-05-16,60
2021-05-23,56
2021-05-30,50
2021-06-06,57
2021-06-13,54
2021-06-20,51
2021-06-27,54
2021-07-04,61
2021-07-11,54
2021-07-18,56
2021-07-25,57
2021-08-01,48
2021-08-08,51
2021-08-15,58
2021-08-22,59
2021-08-29,56
2021-09-05,60
2021-09-12,56
2021-09-19,62
2021-09-26,54
2021-10-03,51
2021-10-10,50
2021-10-17,52
2021-10-24,45
2021-10-31,52
2021-11-07,50
2021-11-14,52
2021-11-21,46
2021-11-28,44
2021-12-05,42
2021-12-12,44
2021-12-19,45
2021-12-26,49
2022-01-02,54
2022-01-09,57
2022-01-16,54
2022-01-23,51
2022-01-30,54
2022-02-06,53
2022-02-13,54
2022-02-20,53
2022-02-27,57
2022-03-06,55
2022-03-13,56
2022-03-20,62
2022-03-27,58
2022-04-03,75
2022-04-10,89
2022-04-17,56
2022-04-24,56
2022-05-01,55
2022-05-08,52
2022-05-15,56
2022-05-22,56
2022-05-29,52
2022-06-05,58
2022-06-12,47
2022-06-19,47
2022-06-26,52
2022-07-03,67
2022-07-10,57
2022-07-17,60
2022-07-24,60
2022-07-31,62
2022-08-07,62
2022-08-14,63
2022-08-21,60
2022-08-28,61
2022-09-04,62
2022-09-11,60
2022-09-18,61
2022-09-25,59
2022-10-02,62
2022-10-09,62
2022-10-16,57
2022-10-23,54
2022-10-30,52
2022-11-06,51
2022-11-13,53
2022-11-20,43
2022-11-27,42
2022-12-04,42
2022-12-11,49
2022-12-18,46
2022-12-25,46
2023-01-01,51
2023-01-08,55
2023-01-15,54
2023-01-22,56
2023-01-29,49
2023-02-05,51
2023-02-12,50
2023-02-19,51
2023-02-26,55
2023-03-05,51
2023-03-12,53
2023-03-19,60
2023-03-26,67
2023-04-02,97
2023-04-09,59
2023-04-16,57
2023-04-23,55
2023-04-30,47
2023-05-07,56
2023-05-14,50
2023-05-21,51
2023-05-28,49
2023-06-04,51
2023-06-11,51
2023-06-18,53
2023-06-25,53
2023-07-02,50
2023-07-09,55
2023-07-16,50
2023-07-23,50
2023-07-30,60
2023-08-06,53
2023-08-13,47
2023-08-20,52
2023-08-27,54
2023-09-03,55
2023-09-10,59
2023-09-17,57
2023-09-24,55
2023-10-01,56
2023-10-08,53
2023-10-15,55
2023-10-22,52
2023-10-29,47
2023-11-05,55
2023-11-12,53
2023-11-19,58
2023-11-26,50
2023-12-03,55
2023-12-10,56
2023-12-17,59
2023-12-24,53
2023-12-31,57
2024-01-07,59
2024-01-14,64
2024-01-21,54
2024-01-28,54
2024-02-04,54
2024-02-11,53
2024-02-18,56
2024-02-25,60
2024-03-03,60
2024-03-10,64
2024-03-17,77
2024-03-24,92
2024-03-31,62
2024-04-07,60
2024-04-14,55
2024-04-21,60
2024-04-28,59
2024-05-05,51
2024-05-12,54
2024-05-19,58
2024-05-26,47
2024-06-02,56
2024-06-09,51
2024-06-16,48
2024-06-23,43
2024-06-30,47
2024-07-07,46
2024-07-14,46
2024-07-21,51
2024-07-28,49
2024-08-04,53
2024-08-11,55
2024-08-18,56
2024-08-25,53
2024-09-01,49
2024-09-08,47
2024-09-15,48
2024-09-22,52
2024-09-29,51
2024-10-06,54
2024-10-13,55
2024-10-20,57
